"airport","lon","lat","name","country","temperature","5-95% Uncertainty Range","units"
"MAD",-3.56652498245239,40.4981346130371,"Madrid-Barajas Adolfo Suárez","Spain",40.25,"38.6-41.9","Celsius"
"TLS",1.36695194244385,43.6293258666992,"Toulouse-Blagnac","France",36.99,"34.6-38.6","Celsius"
"ORY",2.3656759262085,48.7258453369141,"Paris-Orly","France",33.19,"30.7-35.8","Celsius"
"BCN",2.08308506011963,41.2967987060547,"Barcelona-El Prat Josep Tarradellas","Spain",33.76,"31.4-36.1","Celsius"
"NCE",7.21500682830811,43.6597747802734,"Nice-Côte d'Azur","France",33.29,"31.2-34.9","Celsius"
"FCO",12.2466249465942,41.7992477416992,"Rome-Fiumicino Leonardo da Vinci","Italy",36.53,"34.6-38.4","Celsius"
"ATH",23.9476203918457,37.9350357055664,"Athens-Eleftherios Venizelos","Greece",37.51,"36-39.2","Celsius"
"LYS",5.08856201171875,45.7232398986816,"Lyon-Saint Exupéry","France",35.73,"33.2-38.3","Celsius"
"MXP",8.72458744049072,45.6299133300781,"Milan-Malpensa","Italy",34.94,"32.7-37.1","Celsius"
"JKH",26.142578125,38.3457794189453,"Chios-Omiros","Greece",36.77,"35.5-38.3","Celsius"
"RAK",-8.02451610565186,31.6021118164062,"Marrakesh-Menara","Morocco",44.17,"42.9-45.4","Celsius"
"IST",28.7297611236572,41.2764015197754,"Istanbul","Turkey",34.67,"33.1-35.9","Celsius"
"LIN",9.27653980255127,45.4533348083496,"Milan-Linate","Italy",35.95,"33.8-38.8","Celsius"
"CIA",12.5927810668945,41.7985916137695,"Rome-Ciampino","Italy",36.58,"34.7-38.5","Celsius"
"OLB",9.51599311828613,40.899829864502,"Olbia-Costa Smeralda","Italy",36.24,"34.8-38.5","Celsius"
"AHO",8.28964138031006,40.6330604553223,"Alghero–Fertilia","Italy",37.46,"35.9-39.4","Celsius"
"TPS",12.4958429336548,37.902286529541,"Trapani-Birgi Vincenzo Florio","Italy",37.24,"35.8-39.4","Celsius"
"GRO",2.76600408554077,41.898738861084,"Girona Costa Brava","Spain",36.75,"34.4-39","Celsius"
"VLC",-0.47817000746727,39.4909172058105,"Valencia-Manises","Spain",35.6,"34.2-37.1","Celsius"
"SVQ",-5.89315605163574,37.422004699707,"Sevilla-San Pablo","Spain",42.87,"41.3-44.2","Celsius"
"MAH",4.21992492675781,39.8639183044434,"Menorca-Mahón","Spain",34.95,"32.7-37.2","Celsius"
"GIB",-5.34866523742676,36.1520843505859,"Gibraltar-North Front","UK",32.67,"31.1-33.9","Celsius"
"XRY",-6.06093120574951,36.7458343505859,"Jerez-La Parra","Spain",40.62,"39-41.9","Celsius"
"REU",1.16855096817017,41.1497840881348,"Reus","Spain",34.93,"32.9-36.4","Celsius"
"LEI",-2.37048411369324,36.8449172973633,"Almería-Antonio de Torres","Spain",37.54,"36-38.6","Celsius"
"GRX",-3.77804708480835,37.1874618530273,"Granada-Federico García Lorca","Spain",40.91,"39.2-42.1","Celsius"
"QSA",2.10170888900757,41.5218391418457,"Sabadell","Spain",35,"32.7-37.3","Celsius"
"ROZ",-6.34680414199829,36.6387672424316,"Rota Naval Station","Spain",38.28,"36.7-39.6","Celsius"
"LEU",1.40572905540466,42.3383560180664,"Andorra-La Seu d'Urgell","Spain",33.3,"31.1-35.2","Celsius"
"DBV",18.2621192932129,42.5630035400391,"Dubrovnik","Croatia",35.09,"32.9-37","Celsius"
"ZAD",15.3533544540405,44.0979537963867,"Zadar","Croatia",34.41,"32.5-36.4","Celsius"
"PUY",13.9234313964844,44.9012413024902,"Pula","Croatia",34.57,"32.2-38.5","Celsius"
"RJK",14.5696983337402,45.2194404602051,"Rijeka","Croatia",35.19,"32.9-38.3","Celsius"
"BWK",16.6788673400879,43.2892456054688,"Brac","Croatia",33.54,"31.3-35.9","Celsius"
"TIV",18.7181224822998,42.4118499755859,"Tivat","Montenegro",37.54,"35.4-39.9","Celsius"
"PRN",21.0294055938721,42.5758628845215,"Prishtina-Adem Jashari","Kosovo",35.73,"33.2-38.3","Celsius"
"BNX",17.303768157959,44.9337882995605,"Banja Luka","Bosnia and Herzegovina",37.16,"35.1-39.8","Celsius"
"OMO",17.8361358642578,43.2902030944824,"Mostar","Bosnia and Herzegovina",39.8,"37.5-42.3","Celsius"
