"airport","lon","lat","name","country","temperature","5-95% Uncertainty Range","units"
"MAD",-3.56652498245239,40.4981346130371,"Madrid-Barajas Adolfo Suárez","Spain",42.03,"40-44.1","Celsius"
"TLS",1.36695194244385,43.6293258666992,"Toulouse-Blagnac","France",39.03,"36.2-41.4","Celsius"
"ORY",2.3656759262085,48.7258453369141,"Paris-Orly","France",35.07,"31.3-38.4","Celsius"
"BCN",2.08308506011963,41.2967987060547,"Barcelona-El Prat Josep Tarradellas","Spain",35.51,"32.9-38.8","Celsius"
"NCE",7.21500682830811,43.6597747802734,"Nice-Côte d'Azur","France",34.94,"32.2-36.8","Celsius"
"FCO",12.2466249465942,41.7992477416992,"Rome-Fiumicino Leonardo da Vinci","Italy",38.13,"35.9-40.9","Celsius"
"ATH",23.9476203918457,37.9350357055664,"Athens-Eleftherios Venizelos","Greece",39.11,"36.8-41.7","Celsius"
"LYS",5.08856201171875,45.7232398986816,"Lyon-Saint Exupéry","France",37.78,"34.3-42.1","Celsius"
"MXP",8.72458744049072,45.6299133300781,"Milan-Malpensa","Italy",36.83,"33.4-41.1","Celsius"
"JKH",26.142578125,38.3457794189453,"Chios-Omiros","Greece",38.34,"36.6-40.4","Celsius"
"RAK",-8.02451610565186,31.6021118164062,"Marrakesh-Menara","Morocco",45.55,"43.9-47.2","Celsius"
"IST",28.7297611236572,41.2764015197754,"Istanbul","Turkey",36.19,"34-38","Celsius"
"LIN",9.27653980255127,45.4533348083496,"Milan-Linate","Italy",37.69,"34.3-41.7","Celsius"
"CIA",12.5927810668945,41.7985916137695,"Rome-Ciampino","Italy",38.17,"36-40.9","Celsius"
"OLB",9.51599311828613,40.899829864502,"Olbia-Costa Smeralda","Italy",37.69,"35.7-41.1","Celsius"
"AHO",8.28964138031006,40.6330604553223,"Alghero–Fertilia","Italy",38.98,"36.7-42.3","Celsius"
"TPS",12.4958429336548,37.902286529541,"Trapani-Birgi Vincenzo Florio","Italy",38.56,"36.9-41.5","Celsius"
"GRO",2.76600408554077,41.898738861084,"Girona Costa Brava","Spain",38.52,"35.9-41.8","Celsius"
"VLC",-0.47817000746727,39.4909172058105,"Valencia-Manises","Spain",37.24,"35.4-39.5","Celsius"
"SVQ",-5.89315605163574,37.422004699707,"Sevilla-San Pablo","Spain",44.22,"42.3-45.8","Celsius"
"MAH",4.21992492675781,39.8639183044434,"Menorca-Mahón","Spain",36.65,"33.6-40","Celsius"
"GIB",-5.34866523742676,36.1520843505859,"Gibraltar-North Front","UK",33.93,"32.2-35.3","Celsius"
"XRY",-6.06093120574951,36.7458343505859,"Jerez-La Parra","Spain",41.91,"40.1-43.3","Celsius"
"REU",1.16855096817017,41.1497840881348,"Reus","Spain",36.65,"33.8-39.2","Celsius"
"LEI",-2.37048411369324,36.8449172973633,"Almería-Antonio de Torres","Spain",38.92,"37.3-40.3","Celsius"
